word,length,starts_with
أبحر,4,أ
أبرح,4,أ
أبشر,4,أ
أبصر,4,أ
أبعث,4,أ
أبق,3,أ
أبكم,4,أ
أبلغ,4,أ
أبوك,4,أ
أتبع,4,أ
أتت,3,أ
أتتك,4,أ
أتخذ,4,أ
أتذر,4,أ
أتقن,4,أ
أتل,3,أ
أتمم,4,أ
أتوب,4,أ
أتوك,4,أ
أتوه,4,أ
أتيت,4,أ
أتين,4,أ
أثر,3,أ
أثرة,4,أ
أثم,3,أ
أثمر,4,أ
أثيم,4,أ
أجد,3,أ
أجر,3,أ
أجعل,4,أ
أجل,3,أ
أجلت,4,أ
أجنة,4,أ
أجيب,4,أ
أحب,3,أ
أحد,3,أ
أحدث,4,أ
أحرص,4,أ
أحس,3,أ
أحسب,4,أ
أحسن,4,أ
أحصن,4,أ
أحطت,4,أ
أحق,3,أ
أحكم,4,أ
أحل,3,أ
أحلت,4,أ
أحلم,4,أ
أحمد,4,أ
أحمل,4,أ
أحيط,4,أ
أخت,3,أ
أختك,4,أ
أخذ,3,أ
أخذت,4,أ
أخر,3,أ
أخرج,4,أ
أخلد,4,أ
أخلق,4,أ
أخوك,4,أ
أدبر,4,أ
أدر,3,أ
أدلك,4,أ
أذلك,4,أ
أذن,3,أ
أذنت,4,أ
أذهب,4,أ
أربع,4,أ
أرجع,4,أ
أرجل,4,أ
أرجه,4,أ
أرحم,4,أ
أردت,4,أ
أردن,4,أ
أرذل,4,أ
أرسل,4,أ
أرض,3,أ
أريد,4,أ
أزفت,4,أ
أزوج,4,أ
أزيد,4,أ
أسبب,4,أ
أسحر,4,أ
أسخط,4,أ
أسر,3,أ
أسرع,4,أ
أسرف,4,أ
أسس,3,أ
أسفر,4,أ
أسفل,4,أ
أسلم,4,أ
أسمع,4,أ
أسوأ,4,أ
أشحة,4,أ
أشد,3,أ
أشر,3,أ
أشرك,4,أ
أشق,3,أ
أشكر,4,أ
أشهد,4,أ
أشهر,4,أ
أصب,3,أ
أصبح,4,أ
أصحب,4,أ
أصدق,4,أ
أصغر,4,أ
أصل,3,أ
أصيب,4,أ
أضحك,4,أ
أضعف,4,أ
أضغث,4,أ
أضل,3,أ
أضيع,4,أ
أطلع,4,أ
أطمع,4,أ
أطهر,4,أ
أظلم,4,أ
أظن,3,أ
أعبد,4,أ
أعجب,4,أ
أعد,3,أ
أعدت,4,أ
أعرض,4,أ
أعز,3,أ
أعصر,4,أ
أعظك,4,أ
أعظم,4,أ
أعلم,4,أ
أعمل,4,أ
أعنب,4,أ
أعهد,4,أ
أعوذ,4,أ
أعين,4,أ
أغنت,4,أ
أغير,4,أ
أفرغ,4,أ
أفصح,4,أ
أفك,3,أ
أفل,3,أ
أفلت,4,أ
أفلح,4,أ
أفلم,4,أ
أفمن,4,أ
أفهم,4,أ
أقبل,4,أ
أقتت,4,أ
أقتل,4,أ
أقرب,4,أ
أقسط,4,أ
أقسم,4,أ
أقل,3,أ
أقلت,4,أ
أقلم,4,أ
أقم,3,أ
أقول,4,أ
أقوم,4,أ
أكبر,4,أ
أكثر,4,أ
أكره,4,أ
أكفر,4,أ
أكل,3,أ
أكلم,4,أ
أكله,4,أ
أكنة,4,أ
أكون,4,أ
ألد,3,أ
ألست,4,أ
ألف,3,أ
ألفت,4,أ
ألق,3,أ
ألكم,4,أ
ألم,3,أ
ألن,3,أ
ألهم,4,أ
ألوح,4,أ
ألوف,4,أ
أليس,4,أ
أليم,4,أ
أمة,3,أ
أمر,3,أ
أمرت,4,أ
أمسك,4,أ
أمك,3,أ
أملك,4,أ
أمم,3,أ
أمن,3,أ
أموت,4,أ
أمول,4,أ
أمين,4,أ
أنت,3,أ
أنتم,4,أ
أنحن,4,أ
أنذر,4,أ
أنزل,4,أ
أنشأ,4,أ
أنصح,4,أ
أنطق,4,أ
أنظر,4,أ
أنعم,4,أ
أنفق,4,أ
أنقض,4,أ
أنك,3,أ
أنكر,4,أ
أنكم,4,أ
أنه,3,أ
أنهر,4,أ
أنهم,4,أ
أنيب,4,أ
أهدك,4,أ
أهل,3,أ
أهلك,4,أ
أهم,3,أ
أهنن,4,أ
أهون,4,أ
أوت,3,أ
أوسط,4,أ
أوف,3,أ
أول,3,أ
أولم,4,أ
أولو,4,أ
أومن,4,أ
أوهن,4,أ
أيحب,4,أ
أيد,3,أ
أيدك,4,أ
أيكم,4,أ
أيمن,4,أ
أين,3,أ
أيه,3,أ
أيهم,4,أ
أيوب,4,أ
أيود,4,أ
إثم,3,إ
إخوة,4,إ
إخون,4,إ
إرم,3,إ
إسحق,4,إ
إطعم,4,إ
إفك,3,إ
إله,3,إ
إلهك,4,إ
إليك,4,إ
إليه,4,إ
إملق,4,إ
إنس,3,إ
إنسن,4,إ
إنك,3,إ
إنكم,4,إ
إنهم,4,إ
إنهن,4,إ
بأخ,3,ب
بأس,3,ب
بألف,4,ب
بأمر,4,ب
بأن,3,ب
بإذن,4,ب
بئس,3,ب
ببدر,4,ب
ببطن,4,ب
ببعض,4,ب
ببكة,4,ب
بجذع,4,ب
بحبل,4,ب
بحر,3,ب
بحرب,4,ب
بحق,3,ب
بحمد,4,ب
بحور,4,ب
بخبر,4,ب
بخس,3,ب
بخع,3,ب
بخل,3,ب
بخلق,4,ب
بخير,4,ب
بدأ,3,ب
بدت,3,ب
