word_with_fatha,word_without_harakat,length,starts_with
أَبَعَثَ,أبعث,4,أ
أَبَقَ,أبق,3,أ
أَجَعَلَ,أجعل,4,أ
أَجَلَ,أجل,3,أ
أَحَدَ,أحد,3,أ
أَخَذَ,أخذ,3,أ
أَفَلَ,أفل,3,أ
أَكَلَ,أكل,3,أ
أَمَرَ,أمر,3,أ
بَدَأَ,بدأ,3,ب
بَسَطَ,بسط,3,ب
بَطَنَ,بطن,3,ب
بَعَثَ,بعث,3,ب
بَلَغَ,بلغ,3,ب
تَرَكَ,ترك,3,ت
تَضَعَ,تضع,3,ت
تَقَعَ,تقع,3,ت
جَرَمَ,جرم,3,ج
جَعَلَ,جعل,3,ج
جَمَعَ,جمع,3,ج
جَهَرَ,جهر,3,ج
حَذَرَ,حذر,3,ح
حَسَدَ,حسد,3,ح
حَضَرَ,حضر,3,ح
حَكَمَ,حكم,3,ح
حَمَلَ,حمل,3,ح
خَتَمَ,ختم,3,خ
خَلَقَ,خلق,3,خ
خَلَقَكَ,خلقك,4,خ
دَخَلَ,دخل,3,د
ذَرَأَ,ذرأ,3,ذ
ذَهَبَ,ذهب,3,ذ
رَجَعَ,رجع,3,ر
رَفَثَ,رفث,3,ر
رَفَعَ,رفع,3,ر
زَعَمَ,زعم,3,ز
سَأَلَ,سأل,3,س
سَأَلَكَ,سألك,4,س
سَبَقَ,سبق,3,س
سَرَقَ,سرق,3,س
سَقَرَ,سقر,3,س
سَكَتَ,سكت,3,س
سَكَنَ,سكن,3,س
سَلَفَ,سلف,3,س
شَجَرَ,شجر,3,ش
شَجَرَتَ,شجرت,4,ش
شَرَحَ,شرح,3,ش
شَرَعَ,شرع,3,ش
شَكَرَ,شكر,3,ش
صَبَرَ,صبر,3,ص
صَدَقَ,صدق,3,ص
صَرَفَ,صرف,3,ص
صَلَحَ,صلح,3,ص
ضَرَبَ,ضرب,3,ض
طَبَعَ,طبع,3,ط
ظَلَمَ,ظلم,3,ظ
ظَلَمَكَ,ظلمك,4,ظ
ظَهَرَ,ظهر,3,ظ
عَبَسَ,عبس,3,ع
عَدَدَ,عدد,3,ع
عَرَضَ,عرض,3,ع
عَزَمَ,عزم,3,ع
عَشَرَ,عشر,3,ع
عَمَلَ,عمل,3,ع
غَضَبَ,غضب,3,غ
غَفَرَ,غفر,3,غ
فَبَدَأَ,فبدأ,4,ف
فَبَعَثَ,فبعث,4,ف
فَتَحَ,فتح,3,ف
فَجَعَلَ,فجعل,4,ف
فَجَمَعَ,فجمع,4,ف
فَحَشَرَ,فحشر,4,ف
فَخَرَجَ,فخرج,4,ف
فَخَلَفَ,فخلف,4,ف
فَخَلَقَ,فخلق,4,ف
فَرَجَعَ,فرجع,4,ف
فَرَضَ,فرض,3,ف
فَسَجَدَ,فسجد,4,ف
فَصَرَفَ,فصرف,4,ف
فَصَلَ,فصل,3,ف
فَطَرَ,فطر,3,ف
فَعَقَرَ,فعقر,4,ف
فَعَلَ,فعل,3,ف
فَغَفَرَ,فغفر,4,ف
فَفَسَقَ,ففسق,4,ف
فَقَدَرَ,فقدر,4,ف
فَمَكَثَ,فمكث,4,ف
فَنَظَرَ,فنظر,4,ف
فَوَجَدَ,فوجد,4,ف
فَوَقَعَ,فوقع,4,ف
فَوَهَبَ,فوهب,4,ف
قَتَلَ,قتل,3,ق
قَدَمَ,قدم,3,ق
كَتَبَ,كتب,3,ك
كَتَمَ,كتم,3,ك
كَذَبَ,كذب,3,ك
كَسَبَ,كسب,3,ك
كَشَفَ,كشف,3,ك
كَفَرَ,كفر,3,ك
كَمَنَ,كمن,3,ك
لَبَرَزَ,لبرز,4,ل
لَجَعَلَ,لجعل,4,ل
لَخَسَفَ,لخسف,4,ل
لَذَهَبَ,لذهب,4,ل
لَعَنَ,لعن,3,ل
لَمَعَ,لمع,3,ل
مَثَلَ,مثل,3,م
مَرَجَ,مرج,3,م
مَطَرَ,مطر,3,م
مَعَكَ,معك,3,م
مَكَرَ,مكر,3,م
مَنَعَ,منع,3,م
مَنَعَكَ,منعك,4,م
نَبَأَ,نبأ,3,ن
نَبَذَ,نبذ,3,ن
نَزَلَ,نزل,3,ن
نَظَرَ,نظر,3,ن
نَفَرَ,نفر,3,ن
نَكَحَ,نكح,3,ن
نَكَصَ,نكص,3,ن
هَلَكَ,هلك,3,ه
وَأَخَذَ,وأخذ,4,و
وَبَدَأَ,وبدأ,4,و
وَبَسَرَ,وبسر,4,و
وَبَطَلَ,وبطل,4,و
وَبَلَغَ,وبلغ,4,و
وَجَدَ,وجد,3,و
وَجَعَلَ,وجعل,4,و
وَجَمَعَ,وجمع,4,و
وَخَتَمَ,وختم,4,و
وَخَسَفَ,وخسف,4,و
وَخَلَقَ,وخلق,4,و
وَدَخَلَ,ودخل,4,و
وَذَكَرَ,وذكر,4,و
وَرَدَ,ورد,3,و
وَرَفَعَ,ورفع,4,و
وَزَرَ,وزر,3,و
وَزَهَقَ,وزهق,4,و
وَسَقَ,وسق,3,و
وَسَلَكَ,وسلك,4,و
وَصَدَفَ,وصدف,4,و
وَصَدَقَ,وصدق,4,و
وَضَرَبَ,وضرب,4,و
وَطَبَعَ,وطبع,4,و
وَظَهَرَ,وظهر,4,و
وَعَبَدَ,وعبد,4,و
وَعَدَ,وعد,3,و
وَغَفَرَ,وغفر,4,و
وَقَبَ,وقب,3,و
وَقَتَلَ,وقتل,4,و
وَقَذَفَ,وقذف,4,و
وَقَعَ,وقع,3,و
وَقَعَدَ,وقعد,4,و
وَكَفَرَ,وكفر,4,و
وَلَدَ,ولد,3,و
وَلَكَ,ولك,3,و
وَمَكَرَ,ومكر,4,و
وَنَذَرَ,ونذر,4,و
وَنَزَعَ,ونزع,4,و
وَنَفَخَ,ونفخ,4,و
