word_with_harakat,word_without_harakat,length,starts_with
أَبَدًا,أبدا,4,أ
أَبَشَرٌ,أبشر,4,أ
أَجَلٌ,أجل,3,أ
أَجَلٍ,أجل,3,أ
أَحَدٌ,أحد,3,أ
أَحَدٍ,أحد,3,أ
أَسَفًا,أسفا,4,أ
أَشِرٌ,أشر,3,أ
أَمَلًا,أملا,4,أ
أَمَنَةً,أمنة,4,أ
أُذُنٌ,أذن,3,أ
أُكُلٍ,أكل,3,أ
أُمَمٌ,أمم,3,أ
أُمَمٍ,أمم,3,أ
بَرَدٍ,برد,3,ب
بَرَرَةٍ,بررة,4,ب
بَشَرٌ,بشر,3,ب
بَشَرٍ,بشر,3,ب
بَقَرَةً,بقرة,4,ب
بَقَرَةٌ,بقرة,4,ب
بَلَدٍ,بلد,3,ب
بِأَخٍ,بأخ,3,ب
بِثَمَنٍ,بثمن,4,ب
بِخَبَرٍ,بخبر,4,ب
بِدَمٍ,بدم,3,ب
بِرُسُلٍ,برسل,4,ب
بِسَبَبٍ,بسبب,4,ب
بِسَحَرٍ,بسحر,4,ب
بِسَخَطٍ,بسخط,4,ب
بِشَرَرٍ,بشرر,4,ب
بِصَدَقَةٍ,بصدقة,5,ب
بِغَضَبٍ,بغضب,4,ب
بِقَبَسٍ,بقبس,4,ب
بِقَدَرٍ,بقدر,4,ب
بِكَلِمَةٍ,بكلمة,5,ب
بِمَثَلٍ,بمثل,4,ب
بِنَبَإٍ,بنبإ,4,ب
بِنَهَرٍ,بنهر,4,ب
ثَمَرٌ,ثمر,3,ث
ثَمَرَةٍ,ثمرة,4,ث
جَبَلٍ,جبل,3,ج
جَنَفًا,جنفا,4,ج
جُدُرٍ,جدر,3,ج
جُرُزًا,جرزا,4,ج
جُرُفٍ,جرف,3,ج
جُنُبٍ,جنب,3,ج
حَدَبٍ,حدب,3,ح
حَرَجٌ,حرج,3,ح
حَرَجٍ,حرج,3,ح
حَسَنًا,حسنا,4,ح
حَسَنٍ,حسن,3,ح
حَسَنَةً,حسنة,4,ح
حَسَنَةٌ,حسنة,4,ح
حَسَنَةٍ,حسنة,4,ح
حَفَظَةً,حفظة,4,ح
حَمَإٍ,حمإ,3,ح
حَمِئَةٍ,حمئة,4,ح
حُرُمٌ,حرم,3,ح
حُمُرٌ,حمر,3,ح
حِجَجٍ,حجج,3,ح
خُشُبٌ,خشب,3,خ
خُلُقٍ,خلق,3,خ
دَخَلًا,دخلا,4,د
دَرَجَةً,درجة,4,د
دَرَجَةٌ,درجة,4,د
دُبُرٍ,دبر,3,د
دُسُرٍ,دسر,3,د
ذَكَرٍ,ذكر,3,ذ
ذَهَبٍ,ذهب,3,ذ
ذُلِّلًا,ذللا,4,ذ
رَجُلٌ,رجل,3,ر
رَجُلٍ,رجل,3,ر
رَشَدًا,رشدا,4,ر
رَصَدًا,رصدا,4,ر
رَغَدًا,رغدا,4,ر
رَقَبَةٍ,رقبة,4,ر
رَهَقًا,رهقا,4,ر
رُسُلًا,رسلا,4,ر
رُسُلٌ,رسل,3,ر
زَبَدٌ,زبد,3,ز
زَلَقًا,زلقا,4,ز
سَعَةً,سعة,3,س
سَعَةٍ,سعة,3,س
سَفَرٍ,سفر,3,س
سَفَرَةٍ,سفرة,4,س
سَكَنٌ,سكن,3,س
سَنَةً,سنة,3,س
سَنَةٍ,سنة,3,س
سُرُرًا,سررا,4,س
سُرُرٌ,سرر,3,س
سُرُرٍ,سرر,3,س
سُعُرٍ,سعر,3,س
سُنَنٌ,سنن,3,س
سُوَرٍ,سور,3,س
سِنَةٌ,سنة,3,س
شَجَرٌ,شجر,3,ش
شَجَرٍ,شجر,3,ش
شَجَرَةً,شجرة,4,ش
شَجَرَةٌ,شجرة,4,ش
شَجَرَةٍ,شجرة,4,ش
شُعَبٍ,شعب,3,ش
شُغُلٍ,شغل,3,ش
صَدَقَةً,صدقة,4,ص
صَدَقَةٍ,صدقة,4,ص
صَعَدًا,صعدا,4,ص
