word_with_harakat,word_without_harakat,length,starts_with
أَبَشَّرۡتُمُونِى عَلَىٰٓ,أبشرتمونى علىٓ,13,أ
أَجِئۡتَنَا لِتَلۡفِتَنَا,أجئتنا لتلفتنا,13,أ
أَرۡسَلۡنَا نُوحًا,أرسلنا نوحا,10,أ
أَرۡسَلۡنَآ إِلَيۡهِمُ,أرسلنآ إليهم,12,أ
أَصۡلُهَا ثَابِتٌ,أصلها ثابت,9,أ
أَعۡجَمِيًّا لَّقَالُوا۠,أعجميا لقالوا۠,13,أ
بِسِحۡرِهِۦ فَمَاذَا,بسحرهۦ فماذا,11,ب
تَأۡتِيَهُمُ ٱلۡبَيِّنَةُ,تأتيهم ٱلبينة,12,ت
تَجۡرِي بِأَمۡرِهِ,تجري بأمره,9,ت
تَجۡعَلُوا۠ ٱللَّهَ,تجعلوا۠ ٱلله,11,ت
تَخۡشَعَ قُلُوبُهُمۡ,تخشع قلوبهم,10,ت
تَنَزَّلُ ٱلشَّيَٰطِينُ,تنزل ٱلشيطين,11,ت
حِينَ تُرِيحُونَ,حين تريحون,9,ح
خُمُسَهُۥ وَلِلرَّسُولِ,خمسهۥ وللرسول,12,خ
سَمِعۡنَا وَأَطَعۡنَا,سمعنا وأطعنا,11,س
شَدِيدًا فَٱتَّقُوا۠,شديدا فٱتقوا۠,12,ش
عَادَ فَأُو۠لَٰٓئِكَ,عاد فأو۠لٓئك,11,ع
عَادَ كَٱلۡعُرۡجُونِ,عاد كٱلعرجون,11,ع
فأَسۡرِ بِأَهۡلِكَ,فأسر بأهلك,9,ف
فَأَحۡسَنَ صُوَرَكُمۡ,فأحسن صوركم,10,ف
فَسَتُبۡصِرُ وَيُبۡصِرُونَ,فستبصر ويبصرون,13,ف
فَفَهَّمۡنَٰهَا سُلَيۡمَٰنَ,ففهمنها سليمن,12,ف
فَٱبۡعَثُوٓا۠ أَحَدَكُم,فٱبعثوٓا۠ أحدكم,14,ف
فِتۡنَةً لِّلظَّٰلِمِينَ,فتنة للظلمين,11,ف
لَعَلَّكُمۡ تَشۡكُرُونَ,لعلكم تشكرون,11,ل
لَعَلَّهُمۡ يَتَفَكَّرُونَ,لعلهم يتفكرون,12,ل
مُتَّكِـِٔينَ فِيهَا,متكـٔين فيها,11,م
مِنۡ خِيفَتِهِ,من خيفته,7,م
وَأَتَىٰهُمُ ٱلۡعَذَابُ,وأتىهم ٱلعذاب,12,و
وَتَطۡمَئِنُّ قُلُوبُهُم,وتطمئن قلوبهم,12,و
وَثَامِنُهُمۡ كَلۡبُهُمۡ,وثامنهم كلبهم,12,و
وَثِيَابَكَ فَطَهِّرۡ,وثيابك فطهر,10,و
وَرَبَّكَ فَكَبِّرۡ,وربك فكبر,8,و
وَسَبِّحُوهُ بُكۡرَةً,وسبحوه بكرة,10,و
وَعَلَيۡهِ تَوَكَّلۡنَا,وعليه توكلنا,11,و
وَقَٰرُونَ فَقَالُوا۠,وقرون فقالوا۠,12,و
وَلَيَعۡلَمَنَّ ٱلۡمُنَٰفِقِينَ,وليعلمن ٱلمنفقين,15,و
وَنَصَحۡتُ لَكُمۡ,ونصحت لكم,8,و
وَيَقُولُونَ أَئِنَّا,ويقولون أئنا,11,و
وَيُزَكِّيكُمۡ وَيُعَلِّمُكُمُ,ويزكيكم ويعلمكم,14,و
وَٱدۡعُوا۠ ثُبُورًا,وٱدعوا۠ ثبورا,12,و
وَٱلزُّبُرِ وَأَنزَلۡنَآ,وٱلزبر وأنزلنآ,14,و
يَسَّرۡنَاهُ بِلِسَانِكَ,يسرناه بلسانك,12,ي
يَشَآءُ سُبۡحَٰنَهُۥ,يشآء سبحنهۥ,11,ي
يَفۡصِلُ بَيۡنَكُم,يفصل بينكم,9,ي
ٱتَّخَذُوا۠ ٱلشَّيَٰطِينَ,ٱتخذوا۠ ٱلشيطين,14,ٱ
ٱلدُّنۡيَا وَتَزۡهَقَ,ٱلدنيا وتزهق,11,ٱ
ٱلصَّٰلِحَٰتِ وَيَزِيدُهُم,ٱلصلحت ويزيدهم,13,ٱ
ٱلۡخَيۡرَٰتِ وَإِقَامَ,ٱلخيرت وإقام,11,ٱ
